Date,act1_price,act2_price,act3_price,act4_price,act5_price
28/10/2015,17779.51953,5095.689941,1178.719971,14.33,110.716713
29/10/2015,17755.80078,5074.27002,1165.630005,14.61,111.886345
30/10/2015,17663.53906,5053.75,1161.859985,15.07,110.930237
02/11/2015,17828.75977,5127.149902,1186.089966,14.15,112.489754
03/11/2015,17918.15039,5145.129883,1191.579956,14.54,113.780052
04/11/2015,17867.58008,5142.47998,1190.380005,15.51,113.250931
05/11/2015,17863.42969,5127.740234,1190.689941,15.05,112.728874
06/11/2015,17910.33008,5147.120117,1199.75,14.33,112.85939
09/11/2015,17730.48047,5095.299805,1184.430054,16.52,112.402588
10/11/2015,17758.21094,5083.240234,1187.699951,15.29,108.859993
11/11/2015,17702.2207,5067.02002,1178.069946,16.059999,108.24469
12/11/2015,17448.07031,5005.080078,1154.810059,18.370001,107.881104
13/11/2015,17245.24023,4927.879883,1146.550049,20.08,104.730087
16/11/2015,17483.00977,4984.620117,1156.079956,18.16,106.445442
17/11/2015,17489.5,4986.02002,1153.209961,18.84,105.988625
18/11/2015,17737.16016,5075.200195,1171.75,16.85,109.344765
19/11/2015,17732.75,5073.640137,1166.72998,16.99,110.733826
20/11/2015,17823.81055,5104.919922,1175.150024,15.47,111.218613
23/11/2015,17792.67969,5102.47998,1180.359985,15.62,109.773605
24/11/2015,17812.18945,5102.810059,1188.810059,15.93,110.827065
25/11/2015,17813.39063,5116.140137,1198.02002,15.19,110.034622
27/11/2015,17813.39063,5127.52002,1202.380005,15.12,109.829536
30/11/2015,17719.91992,5108.669922,1198.109985,16.129999,110.286354
01/12/2015,17888.34961,5156.310059,1204.160034,14.67,109.39138
02/12/2015,17729.67969,5123.220215,1191.689941,15.91,108.403198
03/12/2015,17477.66992,5037.529785,1170.569946,18.110001,107.396332
04/12/2015,17847.63086,5142.27002,1183.400024,14.81,110.966904
07/12/2015,17730.50977,5101.810059,1164.300049,15.84,110.267715
08/12/2015,17568,5098.240234,1159.400024,17.6,110.221092
09/12/2015,17492.30078,5022.870117,1145.869995,19.610001,107.787888
10/12/2015,17574.75,5045.169922,1149.02002,19.34,108.300644
11/12/2015,17265.21094,4933.470215,1123.609985,24.389999,105.513168
14/12/2015,17368.5,4952.22998,1115.859985,22.73,104.860588
15/12/2015,17524.91016,4995.359863,1131.550049,20.950001,103.005409
16/12/2015,17749.08984,5071.129883,1148.969971,17.860001,103.797813
17/12/2015,17495.83984,5002.549805,1135.359985,18.940001,101.597687
18/12/2015,17128.55078,4923.080078,1121.02002,20.700001,98.847519
21/12/2015,17251.61914,4968.919922,1127.73999,18.700001,100.059456
22/12/2015,17417.26953,5001.109863,1137.689941,16.6,99.966232
23/12/2015,17602.60938,5045.930176,1152.819946,15.57,101.252747
24/12/2015,17552.16992,5048.490234,1154.76001,15.74,100.712036
28/12/2015,17528.26953,5040.990234,1148.209961,16.91,99.584007
29/12/2015,17720.98047,5107.939941,1160.52002,16.08,101.37394
30/12/2015,17603.86914,5065.850098,1149.640015,17.290001,100.050133
31/12/2015,17425.0293,5007.410156,1135.890015,18.209999,98.129669
04/01/2016,17148.93945,4903.089844,1108.619995,20.700001,98.213585
05/01/2016,17158.66016,4891.430176,1110.439941,19.34,95.752419
06/01/2016,16906.50977,4835.759766,1094.369995,20.59,93.878586
07/01/2016,16514.09961,4689.430176,1064.569946,24.99,89.916473
08/01/2016,16346.4502,4643.629883,1046.199951,27.01,90.391907
11/01/2016,16398.57031,4637.990234,1041.900024,24.299999,91.855568
12/01/2016,16516.2207,4685.919922,1044.699951,22.469999,93.188705
13/01/2016,16151.41016,4526.060059,1010.190002,25.219999,90.792793
14/01/2016,16379.04981,4615,1025.670044,23.950001,92.778496
15/01/2016,15988.08008,4488.419922,1007.719971,27.02,90.550415
19/01/2016,16016.01953,4476.950195,994.869995,26.049999,90.112251
20/01/2016,15766.74023,4471.689941,999.309998,27.59,90.233437
21/01/2016,15882.67969,4472.060059,997.340027,26.690001,89.776627
22/01/2016,16093.50977,4591.180176,1020.659973,22.34,94.549812
25/01/2016,15885.21973,4518.490234,997.369995,24.15,92.703934
26/01/2016,16167.23047,4567.669922,1017.969971,22.5,93.21666
27/01/2016,15944.45996,4468.169922,1002.75,23.110001,87.091728
28/01/2016,16069.63965,4506.680176,1003.27002,22.42,87.716331
29/01/2016,16466.30078,4613.950195,1035.380005,20.200001,90.746178
01/02/2016,16449.17969,4620.370117,1032.390015,19.98,89.897827
02/02/2016,16153.54004,4516.950195,1008.840027,21.98,88.079926
03/02/2016,16336.66016,4504.240234,1010.299988,21.65,89.823242
04/02/2016,16416.58008,4509.560059,1014.789978,21.84,90.544991
05/02/2016,16204.96973,4363.140137,985.619995,23.379999,88.126694
08/02/2016,16027.04981,4283.75,969.340027,26,89.054657
09/02/2016,16014.37988,4268.759766,963.900024,26.540001,89.035904
10/02/2016,15914.74023,4283.589844,963.47998,26.290001,88.361023
11/02/2016,15660.17969,4266.839844,953.719971,28.139999,87.826744
12/02/2016,15973.83984,4337.509766,971.98999,25.4,88.098572
16/02/2016,16196.41016,4435.959961,995.799988,24.110001,90.582466
17/02/2016,16453.83008,4534.060059,1011.130005,22.309999,91.969711
18/02/2016,16413.42969,4487.540039,1004.710022,21.639999,90.226288
